,name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type)
48778,NoLimmits Lounge and Club,Yes,Yes,4.1,2181,Brigade Road,Club,"Chinese, Continental, North Indian",2000,Drinks & nightlife
48779,Farzi Cafe,No,No,4.4,2435,Lavelle Road,"Casual Dining, Microbrewery",Modern Indian,1500,Drinks & nightlife
48780,Hard Rock Cafe,No,Yes,4.5,5294,St. Marks Road,"Casual Dining, Bar","American, BBQ",2500,Drinks & nightlife
48781,MISU,Yes,Yes,4.5,1260,St. Marks Road,"Casual Dining, Bar","Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean",1700,Drinks & nightlife
48782,Fava,No,Yes,4.4,2055,Lavelle Road,"Casual Dining, Bar","Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab",1200,Drinks & nightlife
48783,Soda Bottle Opener Wala,Yes,Yes,4.4,3730,Lavelle Road,"Casual Dining, Irani Cafee","Parsi, North Indian",1300,Drinks & nightlife
48784,The Bar Stock Exchange,No,No,4.2,651,St. Marks Road,"Pub, Casual Dining","Continental, Chinese, North Indian, Finger Food",1300,Drinks & nightlife
48785,The Biere Club,Yes,Yes,4.3,3498,Lavelle Road,"Pub, Microbrewery","Continental, BBQ, Finger Food",1700,Drinks & nightlife
48786,SkyDeck By Sherlock's,No,Yes,4.2,1476,MG Road,"Pub, Casual Dining","Continental, Chinese, Finger Food, North Indian",1500,Drinks & nightlife
48787,Sanchez,No,No,4.3,1052,Lavelle Road,Lounge,"Mexican, Tex-Mex",1500,Drinks & nightlife
48788,1Q1,No,Yes,4.3,612,Infantry Road,"Casual Dining, Bar","Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",2500,Drinks & nightlife
48789,RockSalt,Yes,Yes,4.4,504,St. Marks Road,"Bar, Casual Dining",Modern Indian,1900,Drinks & nightlife
48790,Double Decker,No,Yes,4.3,2749,Brigade Road,"Bar, Casual Dining","Continental, North Indian",1300,Drinks & nightlife
48791,Hoppipola,No,No,4.3,1749,Church Street,Lounge,"Continental, Mediterranean, European",1300,Drinks & nightlife
